director,title,budget,revenue,return,year
Lasse Hallström,Something to Talk About,,50892160.0,,1995
Roger Donaldson,Species,35000000.0,113374103.0,3.2392600857142857,1995
James Keach,The Stars Fell on Henrietta,,,,1995
Kathryn Bigelow,Strange Days,42000000.0,7959291.0,0.18950692857142856,1995
Jacques Demy,The Umbrellas of Cherbourg,,,,1964
Wesley Strick,The Tie That Binds,14000000.0,5780000.0,0.41285714285714287,1995
Martha Coolidge,Three Wishes,,7025496.0,,1995
Agnieszka Holland,Total Eclipse,,339889.0,,1995
Beeban Kidron,"To Wong Foo, Thanks for Everything! Julie Newmar",,47774193.0,,1995
Geoff Murphy,Under Siege 2: Dark Territory,60000000.0,104324083.0,1.7387347166666667,1995
Diane Keaton,Unstrung Heroes,,,,1995
Douglas Keeve,Unzipped,,,,1995
Alfonso Aráu,A Walk in the Clouds,20000000.0,50012507.0,2.50062535,1995
Kevin Reynolds,Waterworld,175000000.0,264218220.0,1.5098184,1995
Desmond Nakano,White Man's Burden,8000000.0,,,1995
Walter Hill,Wild Bill,30000000.0,,,1995
Mike Figgis,The Browning Version,,,,1994
Greg Beeman,Bushwhacked,,,,1995
Nikita Mikhalkov,Burnt by the Sun,2800000.0,2616503.0,0.9344653571428572,1994
Milčo Mančevski,Before the Rain,,763847.0,,1994
Richard Linklater,Before Sunrise,2500000.0,5535405.0,2.214162,1995
Tamra Davis,Billy Madison,10000000.0,26488734.0,2.6488734,1995
Guy Ferland,The Babysitter,,,,1995
Herbert Ross,Boys on the Side,21000000.0,23450000.0,1.1166666666666667,1995
Peter Horton,The Cure,,,,1995
Stuart Gordon,Castle Freak,,,,1995
Pat O'Connor,Circle of Friends,,,,1995
Kevin Smith,Clerks,27000.0,3151130.0,116.70851851851852,1994
Jeremy Leven,Don Juan DeMarco,25000000.0,22200000.0,0.888,1994
Barry Levinson,Disclosure,55000000.0,214015089.0,3.891183436363636,1994
René Bonnière,Dream Man,,,,1995
John Badham,Drop Zone,45000000.0,,,1994
Jack Baran,Destiny Turns on the Radio,,,,1995
Roman Polanski,Death and the Maiden,,,,1994
Taylor Hackford,Dolores Claiborne,,,,1995
Peter Farrelly,Dumb and Dumber,16000000.0,247275374.0,15.454710875,1994
Ang Lee,Eat Drink Man Woman,,7294403.0,,1994
Atom Egoyan,Exotica,,,,1994
Garry Marshall,Exit to Eden,,6841570.0,,1994
Tim Burton,Ed Wood,18000000.0,5887457.0,0.32708094444444447,1994
Lawrence Kasdan,French Kiss,,,,1995
Billy Crystal,Forget Paris,,,,1995
Phillip Borsos,Far from Home: The Adventures of Yellow Dog,,,,1995
Kevin Lima,A Goofy Movie,,35348597.0,,1995
Brett Leonard,Hideaway,15000000.0,12201255.0,0.813417,1995
Carlo Carlei,Fluke,,,,1995
Gérard Corbiau,Farinelli,,,,1994
Mark Lewis,Gordy,,3992809.0,,1995
Art Clokey,Gumby: The Movie,,,,1995
Charles Burnett,The Glass Shield,,,,1994
Steve James,Hoop Dreams,700000.0,7830611.0,11.186587142857142,1994
Peter Jackson,Heavenly Creatures,5000000.0,3049135.0,0.609827,1994
Randall Miller,Houseguest,10500000.0,26325256.0,2.507167238095238,1995
Bernard Rose,Immortal Beloved,120.0,,,1994
Steven Brill,Heavyweights,,17689177.0,,1995
J. F. Lawton,The Hunted,,,,1995
Fred Schepisi,I.Q.,25000000.0,,,1994
Neil Jordan,Interview with the Vampire,60000000.0,223664608.0,3.7277434666666664,1994
James Ivory,Jefferson in Paris,14000000.0,2474000.0,0.1767142857142857,1995
James Melkonian,The Jerky Boys,,,,1995
Ivan Reitman,Junior,60000000.0,37000000.0,0.6166666666666667,1994
Arne Glimcher,Just Cause,,,,1995
Michael Gottlieb,A Kid in King Arthur's Court,,,,1995
Barbet Schroeder,Kiss of Death,40000000.0,,,1995
George Lucas,Star Wars,11000000.0,775398007.0,70.49072790909091,1977
Gillian Armstrong,Little Women,18000000.0,,,1994
Alfonso Cuarón,A Little Princess,17000000.0,,,1995
Ken Loach,Ladybird Ladybird,,,,1994
Claude Chabrol,L'Enfer,10000000.0,,,1994
Alfonso Aráu,Like Water for Chocolate,2000000.0,21665468.0,10.832734,1992
Edward Zwick,Legends of the Fall,30000000.0,160638883.0,5.354629433333334,1994
Nick Castle,Major Payne,,,,1995
James Gray,Little Odessa,,,,1994
Allison Anders,Mi Vida Loca,,,,1994
Glenn Gordon Caron,Love Affair,60000000.0,,,1994
Stephen Gyllenhaal,Losing Isaiah,17000000.0,7603766.0,0.44728035294117646,1995
Nicholas Hytner,The Madness of King George,,,,1994
Kenneth Branagh,Mary Shelley's Frankenstein,45000000.0,112006296.0,2.4890288,1994
James Orr,Man of the House,,,,1995
Nora Ephron,Mixed Nuts,15000000.0,,,1994
Richard Benjamin,Milk Money,,18137661.0,,1994
Les Mayfield,Miracle on 34th Street,,46264384.0,,1994
David Frankel,Miami Rhapsody,6.0,5.0,0.8333333333333334,1995
Gregory Nava,My Family,5500000.0,,,1995
Marc Rocco,Murder in the First,,17381942.0,,1995
Robert Benton,Nobody's Fool,,,,1994
Michael Apted,Nell,31000000.0,106683817.0,3.4414134516129034,1994
Nick Gomez,New Jersey Drive,,,,1995
Tōru Murakawa,New York Cop,,,,1993
Vadim Jean,Beyond Bedlam,4800000.0,,,1994
Albert Pyun,Nemesis 2 - Nebula,,,,1995
Alan Jacobs,Nina Takes a Lover,,,,1995
Oliver Stone,Natural Born Killers,34000000.0,50282766.0,1.4789048823529412,1994
Norman Jewison,Only You,,,,1994
Lee Tamahori,Once Were Warriors,,2201126.0,,1994
Anne Goursaud,Poison Ivy II: Lily,,,,1996
Wolfgang Petersen,Outbreak,50000000.0,189859560.0,3.7971912,1995
Luc Besson,Leon: The Professional,16000000.0,45284974.0,2.830310875,1994
Mira Nair,The Perez Family,11000000.0,2832826.0,0.25752963636363635,1995
Joshua Brand,A Pyromaniac's Love Story,,,,1995
Quentin Tarantino,Pulp Fiction,8000000.0,213928762.0,26.74109525,1994
Mario Van Peebles,Panther,,6834525.0,,1995
Ang Lee,Pushing Hands,400000.0,152322.0,0.380805,1992
Antonia Bird,Priest,,4176932.0,,1994
Robert Redford,Quiz Show,,,,1994
Kayo Hatta,Picture Bride,,,,1995
Patrice Chéreau,Queen Margot,,,,1994
Sam Raimi,The Quick and the Dead,32000000.0,18552460.0,0.579764375,1995
Peter Yates,Roommates,22000000.0,12400000.0,0.5636363636363636,1995
Robert Altman,Prêt-à-Porter,15000000.0,11300653.0,0.7533768666666667,1994
Krzysztof Kieślowski,Three Colors: Red,,,,1994
Krzysztof Kieślowski,Three Colors: Blue,,,,1993
Krzysztof Kieślowski,Three Colors: White,,,,1994
He Ping,"Red Firecracker, Green Firecracker",,,,1994
Fred Gerber,Rent-a-Kid,,,,1995
George Mihalka,Relative Fear,,,,1995
Harold Ramis,Stuart Saves His Family,,,,1995
Richard Rich,The Swan Princess,35000000.0,9771658.0,0.27919022857142856,1994
John Sayles,The Secret of Roan Inish,,,,1994
Luis Llosa,The Specialist,45000000.0,170362582.0,3.7858351555555556,1994
Roland Emmerich,Stargate,55000000.0,196567262.0,3.5739502181818184,1994
John Pasquin,The Santa Clause,22000000.0,189833357.0,8.628788954545454,1994
Frank Darabont,The Shawshank Redemption,25000000.0,28341469.0,1.13365876,1994
Danny Boyle,Shallow Grave,,,,1994
Scott McGehee,Suture,,102780.0,,1993
Tomás Gutiérrez Alea,Strawberry and Chocolate,,,,1993
George Huang,Swimming with Sharks,,,,1994
Kevin Dowling,The Sum of Us,32.0,,,1994
Kelly Makin,Senior Trip,,,,1995
Zhang Yimou,To Live,,,,1994
Rachel Talalay,Tank Girl,25000000.0,4064495.0,0.1625798,1995
Ernest R. Dickerson,Tales from the Crypt: Demon Knight,,,,1995
David Carson,Star Trek: Generations,38000000.0,120000000.0,3.1578947368421053,1994
Rusty Cundieff,Tales from the Hood,6000000.0,12000000.0,2.0,1995
Brian Gilbert,Tom & Viv,,,,1994
John Carpenter,Village of the Damned,,,,1995
Peter Segal,Tommy Boy,,32648673.0,,1995
Louis Malle,Vanya on 42nd Street,,,,1994
Steven Soderbergh,The Underneath,6500000.0,,,1995
Preston A. Whitmore II,The Walking Dead,,,,1995
Lasse Hallström,What's Eating Gilbert Grape,11000000.0,10032765.0,0.9120695454545454,1993
Brett Leonard,Virtuosity,30000000.0,24048000.0,0.8016,1995
Jon Turteltaub,While You Were Sleeping,17000000.0,182057016.0,10.709236235294117,1995
Jon Avnet,The War,,,,1994
Mina Shum,Double Happiness,,759393.0,,1994
P.J. Hogan,Muriel's Wedding,3000000.0,15119639.0,5.039879666666667,1994
Melanie Mayron,The Baby-Sitters Club,,,,1995
Tom Shadyac,Ace Ventura: Pet Detective,15000000.0,107217396.0,7.1478264,1994
Stephan Elliott,"The Adventures of Priscilla, Queen of the Desert",,11220670.0,,1994
Iain Softley,Backbeat,,,,1994
Roman Polanski,Bitter Moon,5000000.0,1862805.0,0.372561,1992
Woody Allen,Bullets Over Broadway,,,,1994
Phillip Noyce,Clear and Present Danger,62000000.0,215887717.0,3.482059951612903,1994
Joel Schumacher,The Client,45000000.0,117615211.0,2.6136713555555557,1994
Jessie Nelson,"Corrina, Corrina",,,,1994
Spike Lee,Crooklyn,,,,1994
Alex Proyas,The Crow,15000000.0,94000000.0,6.266666666666667,1994
Ron Shelton,Cobb,,1007583.0,,1994
Brian Levant,The Flintstones,46000000.0,341631208.0,7.426765391304348,1994
Robert Zemeckis,Forrest Gump,55000000.0,677945399.0,12.326279981818182,1994
Mike Newell,Four Weddings and a Funeral,6000000.0,254700832.0,42.45013866666667,1994
John Singleton,Higher Learning,,38290723.0,,1995
Darnell Martin,I Like It Like That,,1777020.0,,1994
Charles Shyer,I Love Trouble,45000000.0,61947267.0,1.3766059333333334,1994
Andrew Bergman,It Could Happen to You,,,,1994
Stephen Sommers,The Jungle Book,,,,1994
Ray Müller,"The Wonderful, Horrible Life of Leni Riefenstahl",,449707.0,,1993
Roger Allers,The Lion King,45000000.0,788241776.0,17.516483911111113,1994
Bernardo Bertolucci,Little Buddha,35000000.0,4858139.0,0.13880397142857143,1993
Wes Craven,New Nightmare,14000000.0,18090181.0,1.2921557857142858,1994
Chuck Russell,The Mask,23000000.0,351583407.0,15.286235086956522,1994
Richard Donner,Maverick,,,,1994
Alan Rudolph,Mrs. Parker and the Vicious Circle,,,,1994
Peter Segal,The Naked Gun 33⅓: The Final Insult,30000000.0,51132598.0,1.7044199333333334,1994
Ron Howard,The Paper,6000000.0,,,1994
Ben Stiller,Reality Bites,11500000.0,20079850.0,1.7460739130434784,1994
John Dahl,Red Rock West,8000000.0,2000000.0,0.25,1993
Donald Petrie,Ri¢hie Ri¢h,40000000.0,,,1994
Robert Allan Ackerman,Safe Passage,,,,1994
Curtis Hanson,The River Wild,45000000.0,,,1994
Jan de Bont,Speed,30000000.0,350448145.0,11.681604833333333,1994
Ron Underwood,Speechless,,,,1994
Peter Hyams,Timecop,27000000.0,101646581.0,3.764688185185185,1994
James Cameron,True Lies,115000000.0,378882411.0,3.2946296608695653,1994
Luis Mandoki,When a Man Loves a Woman,,50021959.0,,1994
Mike Nichols,Wolf,,,,1994
Lawrence Kasdan,Wyatt Earp,63000000.0,25052000.0,0.39765079365079364,1994
Damian Harris,Bad Company,,,,1995
Suri Krishnamma,A Man of No Importance,,953.0,,1994
Jefery Levy,S.F.W.,,,,1994
Keenen Ivory Wayans,A Low Down Dirty Shame,10000000.0,29392418.0,2.9392418,1994
Robert Lee King,"Boys Life: Three Stories of Love, Lust, and Liberation",,,,1994
Yves Angelo,Colonel Chabert,,,,1994
Russ Meyer,"Faster, Pussycat! Kill! Kill!",45000.0,,,1965
Doug McHenry,Jason's Lyric,7000000.0,20851521.0,2.9787887142857143,1994
Dave Borthwick,The Secret Adventures of Tom Thumb,,,,1993
Steven E. de Souza,Street Fighter,35000000.0,99423521.0,2.8406720285714284,1994
Wallace Wolodarsky,Coldblooded,,,,1995
Michael A. Nickles,Desert Winds,,,,1997
Paul Warner,Fall Time,,,,1995
Vincent Robert,The Fear,,,,1995
Theodore Thomas,Frank and Ollie,,,,1995
Lucas Platt,Girl in the Cadillac,,,,1995
Ross Kagan Marks,Homage,,,,1995
Paul Williams,Mirage,,,,1995
Robert Wuhl,Open Season,,,,1996
Roberto Sneider,Dos Crímenes,,,,1995
Jack Baxter,Brother Minister: The Assassination of Malcolm X,,,,1995
Andrew Morahan,Highlander: The Final Dimension,26000000.0,36800000.0,1.4153846153846155,1994
Michael Corrente,Federal Hill,,,,1995
John Carpenter,In the Mouth of Madness,8000000.0,8946600.0,1.118325,1994
John G. Avildsen,8 Seconds,,,,1994
Jeff Pollack,Above the Rim,,,,1994
Barry Sonnenfeld,Addams Family Values,,48919043.0,,1993
Thomas Schlamme,Martin Lawrence: You So Crazy,,,,1994
Martin Scorsese,The Age of Innocence,34000000.0,32255440.0,0.9486894117647059,1993
Michael Lehmann,Airheads,,,,1994
Paul Michael Glaser,The Air Up There,17080000.0,21011500.0,1.2301814988290398,1994
John Badham,Another Stakeout,,,,1993
Jonathan Kaplan,Bad Girls,,15240435.0,,1994
Whit Stillman,Barcelona,3200000.0,,,1994
Bill Forsyth,Being Human,40000000.0,,,1994
Penelope Spheeris,The Beverly Hillbillies,,,,1993
John Landis,Beverly Hills Cop III,50000000.0,119208989.0,2.38417978,1994
Caroline Thompson,Black Beauty,,,,1994
Michael Apted,Blink,,16668552.0,,1994
Stephen Hopkins,Blown Away,,30156002.0,,1994
William Friedkin,Blue Chips,,,,1994
Tony Richardson,Blue Sky,,,,1994
Abel Ferrara,Body Snatchers,13000000.0,428868.0,0.032989846153846154,1993
Jennifer Chambers Lynch,Boxing Helena,,1796389.0,,1993
Robert De Niro,A Bronx Tale,22000000.0,17287898.0,0.7858135454545454,1993
Adam Resnick,Cabin Boy,,3662459.0,,1994
John Whitesell,Calendar Girl,13000000.0,2570145.0,0.19770346153846155,1993
Brian De Palma,Carlito's Way,30000000.0,36516012.0,1.2172004,1993
Paul Weiland,City Slickers II: The Legend of Curly's Gold,,,,1994
Mick Jackson,Clean Slate,,7355425.0,,1994
Renny Harlin,Cliffhanger,70000000.0,255000211.0,3.642860157142857,1993
Steve Barron,Coneheads,,,,1993
Richard Rush,Color of Night,40000000.0,19726050.0,0.49315125,1994
Michael Ritchie,Cops & Robbersons,,,,1994
Gregg Champion,The Cowboy Way,,,,1994
Abel Ferrara,Dangerous Game,,,,1993
Ivan Reitman,Dave,,63000000.0,,1993
Richard Linklater,Dazed and Confused,6900000.0,7993039.0,1.1584114492753623,1993
Marco Brambilla,Demolition Man,57000000.0,159055768.0,2.7904520701754385,1993
Bruce Brown,The Endless Summer 2,,,,1994
Gus Van Sant,Even Cowgirls Get the Blues,8000000.0,,,1994
Carl Reiner,Fatal Instinct,,,,1993
Chen Kaige,Farewell My Concubine,,,,1993
Donald Petrie,The Favor,,,,1994
Peter Weir,Fearless,,,,1993
Rusty Cundieff,Fear of a Black Hat,,,,1994
Alek Keshishian,With Honors,,,,1994
Steve Kloves,Flesh and Bone,,9488998.0,,1993
John Irvin,Widows' Peak,,,,1994
Barry Sonnenfeld,For Love or Money,30000000.0,11146270.0,0.3715423333333333,1993
Sydney Pollack,The Firm,42000000.0,270248367.0,6.434484928571429,1993
Simon Wincer,Free Willy,20000000.0,153698625.0,7.68493125,1993
Boaz Yakin,Fresh,,,,1994
Andrew Davis,The Fugitive,44000000.0,368875760.0,8.38354,1993
Walter Hill,Geronimo: An American Legend,35000000.0,18635620.0,0.5324462857142858,1993
Roger Donaldson,The Getaway,,30.0,,1994
Howard Deutch,Getting Even with Dad,30000000.0,,,1994
Rose Troche,Go Fish,,,,1994
Bruce Beresford,A Good Man in Africa,,,,1994
Sidney Lumet,Guilty as Sin,,22886222.0,,1993
John Woo,Hard Target,18000000.0,74189677.0,4.121648722222222,1993
Oliver Stone,Heaven & Earth,33000000.0,,,1993
Jim Abrahams,Hot Shots! Part Deux,25000000.0,133752825.0,5.350113,1993
Julianna Lavin,Live Nude Girls,,,,1995
Christopher Monger,The Englishman Who Went Up a Hill But Came Down a Mountain,,,,1995
Bille August,The House of the Spirits,25000000.0,,,1993
